iter	Passed	Remaining
413	3136	4440
414	3144	4432
415	3152	4425
416	3160	4418
417	3167	4410
418	3174	4401
419	3181	4393
420	3187	4384
421	3193	4374
422	3200	4366
423	3208	4358
424	3215	4350
425	3222	4341
426	3228	4332
427	3234	4322
428	3241	4314
429	3247	4305
430	3254	4297
431	3262	4289
432	3268	4279
433	3274	4270
434	3280	4261
435	3287	4253
436	3294	4244
437	3301	4235
438	3308	4228
439	3316	4221
440	3324	4214
441	3331	4206
442	3339	4198
443	3346	4191
444	3354	4184
445	3362	4176
446	3370	4169
447	3376	4160
448	3383	4151
449	3389	4142
450	3396	4134
451	3404	4127
452	3411	4119
453	3418	4111
454	3424	4102
455	3432	4094
456	3438	4086
457	3445	4077
458	3451	4068
459	3458	4059
460	3464	4050
461	3471	4042
462	3477	4033
463	3483	4024
464	3490	4015
465	3496	4007
466	3505	4000
467	3511	3991
468	3518	3983
469	3526	3976
470	3533	3968
471	3540	3960
472	3547	3952
473	3556	3946
474	3563	3938
475	3571	3931
476	3578	3923
477	3584	3914
478	3590	3904
479	3597	3896
480	3603	3888
481	3610	3880
482	3617	3872
483	3624	3864
484	3630	3855
485	3637	3847
486	3644	3839
487	3651	3831
488	3658	3823
489	3664	3814
490	3671	3805
491	3677	3797
492	3684	3789
493	3690	3780
494	3697	3771
495	3703	3763
496	3709	3754
497	3716	3746
498	3723	3737
499	3730	3730
500	3736	3721
501	3744	3714
502	3752	3707
503	3758	3699
504	3766	3691
505	3772	3683
506	3784	3679
507	3794	3675
508	3803	3669
509	3812	3662
510	3820	3655
511	3827	3648
512	3834	3639
513	3840	3631
514	3847	3623
515	3854	3615
516	3860	3606
517	3867	3598
518	3873	3589
519	3879	3581
520	3886	3573
521	3892	3564
522	3901	3558
523	3907	3549
524	3913	3540
525	3919	3532
526	3927	3525
527	3934	3517
528	3942	3510
529	3949	3502
530	3956	3494
531	3963	3487
532	3970	3479
533	3977	3470
534	3984	3463
535	3992	3455
536	3999	3448
537	4006	3440
538	4014	3433
539	4021	3426
540	4028	3417
541	4035	3410
542	4042	3401
543	4050	3395
544	4058	3388
545	4066	3381
546	4073	3373
547	4081	3366
548	4088	3358
549	4095	3350
550	4102	3342
551	4108	3334
552	4115	3326
553	4121	3318
554	4128	3310
555	4135	3302
556	4143	3295
557	4150	3287
558	4158	3280
559	4164	3272
560	4173	3265
561	4181	3258
562	4188	3251
563	4195	3243
564	4204	3236
565	4210	3228
566	4217	3220
567	4225	3213
568	4233	3206
569	4240	3198
570	4247	3191
571	4253	3182
572	4260	3174
573	4266	3166
574	4273	3158
575	4280	3151
576	4286	3142
577	4292	3134
578	4299	3126
579	4306	3118
580	4313	3110
581	4320	3102
582	4328	3095
583	4338	3090
584	4346	3083
585	4354	3076
586	4362	3069
587	4371	3062
588	4385	3059
589	4393	3053
590	4401	3046
591	4409	3039
592	4417	3031
593	4426	3025
594	4434	3018
595	4443	3012
596	4452	3005
597	4459	2997
598	4467	2990
599	4475	2983
600	4482	2976
601	4490	2968
602	4497	2961
603	4506	2954
604	4515	2948
605	4525	2942
606	4534	2936
607	4543	2929
608	4552	2923
609	4560	2915
610	4568	2908
611	4577	2902
612	4587	2895
613	4595	2888
614	4604	2882
615	4612	2875
616	4621	2868
617	4629	2861
618	4636	2853
619	4646	2847
620	4654	2840
621	4664	2834
622	4672	2827
623	4680	2820
624	4688	2813
625	4696	2806
626	4707	2800
627	4715	2793
628	4723	2785
629	4731	2778
630	4746	2775
631	4756	2769
632	4764	2762
633	4771	2754
634	4781	2748
635	4789	2741
636	4797	2733
637	4805	2726
638	4813	2719
639	4822	2712
640	4830	2705
641	4839	2698
642	4847	2691
643	4856	2684
644	4864	2677
645	4873	2670
646	4882	2663
647	4892	2657
648	4901	2650
649	4910	2643
650	4919	2637
651	4928	2630
652	4938	2624
653	4950	2619
654	4960	2612
655	4970	2606
656	4979	2599
657	4988	2592
658	4996	2585
659	5006	2579
660	5016	2572
661	5025	2565
662	5036	2560
663	5046	2553
664	5054	2546
665	5064	2539
666	5072	2532
667	5082	2525
668	5091	2519
669	5102	2513
670	5112	2506
671	5121	2499
672	5130	2492
673	5139	2485
674	5148	2478
675	5156	2471
676	5165	2464
677	5178	2459
678	5188	2452
679	5197	2445
680	5209	2440
681	5220	2434
682	5230	2427
683	5239	2420
684	5247	2413
685	5257	2406
686	5268	2400
687	5277	2393
688	5287	2386
689	5299	2380
690	5309	2374
691	5318	2367
692	5328	2360
693	5337	2353
694	5347	2346
695	5356	2339
696	5366	2332
697	5376	2326
698	5386	2319
699	5396	2312
700	5406	2305
701	5416	2299
702	5425	2292
703	5452	2292
704	5466	2287
705	5477	2280
706	5486	2273
707	5497	2267
708	5510	2261
709	5519	2254
710	5530	2248
711	5541	2241
712	5552	2235
713	5562	2228
714	5572	2221
715	5584	2215
716	5594	2207
717	5604	2201
718	5612	2193
719	5621	2186
720	5631	2179
721	5641	2172
722	5653	2166
723	5663	2159
724	5674	2152
725	5683	2144
726	5691	2137
727	5699	2129
728	5707	2121
729	5715	2114
730	5724	2106
731	5734	2099
732	5741	2091
733	5750	2084
734	5759	2076
735	5769	2069
736	5777	2061
737	5786	2054
738	5796	2047
739	5809	2041
740	5821	2034
741	5837	2029
742	5850	2023
743	5864	2018
744	5874	2010
745	5884	2003
746	5896	1996
747	5909	1990
748	5920	1984
749	5930	1976
750	5938	1968
751	5945	1960
752	5954	1953
753	5962	1945
754	5973	1938
755	5983	1931
756	5994	1924
757	6007	1918
758	6020	1911
759	6031	1904
760	6047	1899
761	6057	1891
762	6067	1884
763	6079	1878
764	6090	1871
765	6099	1863
766	6109	1856
767	6121	1849
768	6129	1841
769	6138	1833
770	6148	1826
771	6157	1818
772	6165	1810
773	6172	1802
