iter	Logloss
0	0.6855903131
1	0.6786057701
2	0.6722774287
3	0.6662677576
4	0.6611031635
5	0.6563465395
6	0.6520738575
7	0.648164071
8	0.6443512894
9	0.6411335423
10	0.6380244448
11	0.6355374211
12	0.6330842732
13	0.6307506828
14	0.6286525469
15	0.6267438256
16	0.6248925564
17	0.623177484
18	0.621587999
19	0.6201558211
20	0.6186182199
21	0.61712833
22	0.6160655854
23	0.6145984344
24	0.6136461115
25	0.6125933132
26	0.6118031367
27	0.6108199123
28	0.6100034992
29	0.6093495622
30	0.6086980177
31	0.6078301203
32	0.6071306784
33	0.6064469683
34	0.6059584699
35	0.6053401884
36	0.6046639468
37	0.6041780193
38	0.6037668967
39	0.6032125703
40	0.6027931882
41	0.6022424603
42	0.6017895322
43	0.6012959113
44	0.6008463025
45	0.6001785685
46	0.5996224972
47	0.5991352086
48	0.5986734393
49	0.5983998591
50	0.5979397882
51	0.5975932295
52	0.5972816981
53	0.5969412662
54	0.5967378764
55	0.5965001456
56	0.5962248205
57	0.5959499102
58	0.5956095093
59	0.5953574853
60	0.594976985
61	0.5945680766
62	0.594229634
63	0.593898683
64	0.593697077
65	0.5934742211
66	0.5932614938
67	0.5930173183
68	0.5926902684
69	0.5924269447
70	0.5922356573
71	0.5919219544
72	0.5917196543
73	0.591449374
74	0.5912204844
75	0.5909818424
76	0.5906872915
77	0.5904416541
78	0.5902119502
79	0.5898884678
80	0.5896640065
81	0.5894168878
82	0.5891989256
83	0.5889384172
84	0.5887660956
85	0.5886214958
86	0.5884444512
87	0.5880611395
88	0.5878929245
89	0.5876973018
90	0.5874485622
91	0.5872053134
92	0.5870258491
93	0.5868366828
94	0.5865893702
95	0.586385678
96	0.586208804
97	0.5859678353
98	0.5857684629
99	0.5854963174
100	0.5852495826
101	0.5851226923
102	0.5849440772
103	0.5847505485
104	0.5845566087
105	0.5843335822
106	0.5842074131
107	0.5840437117
108	0.5839058242
109	0.5836890525
110	0.583475635
111	0.583278054
112	0.5831561078
113	0.5829982307
114	0.5828946299
115	0.5827279892
116	0.5826327449
117	0.5824845233
118	0.5823452437
119	0.5822094347
120	0.5820670102
121	0.5817991729
122	0.5815992964
123	0.5814902978
124	0.5813293845
125	0.5811716431
126	0.5810293854
127	0.5808986135
128	0.5807768457
129	0.5806100072
130	0.5804986782
131	0.5804141325
132	0.5802520985
133	0.5801245683
134	0.5799851142
135	0.5798206373
136	0.5795741817
137	0.5795509503
138	0.5794511419
139	0.5793045955
140	0.5791921962
141	0.5790565074
142	0.5788754649
143	0.5787709606
144	0.5786106754
145	0.5784850415
146	0.5782866152
147	0.5781358731
148	0.577972129
149	0.5777927811
150	0.5776771051
151	0.5775238929
152	0.5773583379
153	0.5771975952
154	0.5770938975
155	0.5769054563
156	0.5767678829
157	0.5766647668
158	0.5765567416
159	0.576461951
160	0.5763823532
161	0.5762749756
162	0.5760959766
163	0.5760240606
164	0.5758584203
165	0.5757467384
166	0.5756690989
167	0.575547552
168	0.5754725261
169	0.5754159115
170	0.5753279147
171	0.5751965262
172	0.5751273052
173	0.5750718462
174	0.5749541383
175	0.5748193608
176	0.5746946769
177	0.5745376878
178	0.5744015065
179	0.5743408009
180	0.5742107658
181	0.5741120858
182	0.5739929975
183	0.5738473701
184	0.5736939717
185	0.5735711259
186	0.5734701813
187	0.5733851393
188	0.5732937804
189	0.5731808615
190	0.5731019036
191	0.5730230465
192	0.572978701
193	0.5728943143
194	0.5727549416
195	0.5726468504
196	0.5725098664
197	0.5724056375
198	0.5722483071
199	0.5721503911
200	0.5720148845
201	0.5718793469
202	0.5717831913
203	0.5716957102
204	0.5716192805
205	0.5715556745
206	0.5714766739
207	0.5713664228
208	0.5711771208
209	0.5710813646
210	0.5710160601
211	0.5709447374
212	0.5708408264
213	0.5707358296
214	0.5706190213
215	0.5705151181
216	0.5704397975
217	0.5703683894
218	0.5702532176
219	0.57011438
220	0.5700354454
221	0.5699286455
222	0.5698356231
223	0.569715069
224	0.5696231052
225	0.5695606237
226	0.5694679658
227	0.5693439023
228	0.5692076745
229	0.5690992615
230	0.5689888902
231	0.5689016534
232	0.5687988902
233	0.5686878636
234	0.5685409914
235	0.5684625764
236	0.568376941
237	0.5682302473
238	0.5681727563
239	0.5680541217
240	0.5679830083
241	0.56784369
242	0.5677118866
243	0.567632285
244	0.5674681066
